passage_id,question,passage
2001_1545.txt_Art. 1,Co reguluje kodeks morski?,"Art. 1. § 1. Kodeks morski reguluje stosunki prawne związane z żeglugą morską. § 2. W stosunkach cywilnoprawnych związanych z żeglugą morską stosuje się - w braku odpowiednich przepisów Kodeksu morskiego - przepisy prawa cywilnego. § 3. Stosunki pracy na statkach morskich, sprawy bezpieczeństwa morskiego, zapobieganie zanieczyszczaniu morza przez statki oraz inne sprawy w zakresie nieuregulowanym przepisami Kodeksu morskiego, regulują odrębne przepisy. "
2004_2781.txt_Art. 2,Co należy zrobić z zyskiem pozostającym w dyspozycji instytucji gospodarki budżetowej?,"Art. 2. Zysk pozostający w dyspozycji instytucji gospodarki budżetowej, który przed dniem wejścia w życie niniejszej ustawy zwiększył fundusz instytucji gospodarki budżetowej, podlega przeniesieniu na fundusz zapasowy w dniu wejścia w życie niniejszej ustawy. "
1997_555.txt_Art. 503,Co należy uczynić jeżeli dowody nie są wystarczające w do rozstrzygnięcia powództwa cywilnego?,"Art. 503. § 1. Wydając nakaz karny sąd zasądza w całości roszczenie zgłoszone w powództwie cywilnym lub odszkodowanie pieniężne na podstawie art. 415 § 5. § 2. Jeżeli materiał dowodowy zebrany w postępowaniu przygotowawczym nie wystarcza do rozstrzygnięcia powództwa cywilnego, sąd pozostawia powództwo cywilne bez rozpoznania. "
2001_499.txt_Art. 177,Kiedy może wygasnąć mandat posła?,"Art. 177. 1. Wygaśnięcie mandatu posła następuje wskutek: 1) utraty prawa wybieralności, 2) pozbawienia mandatu prawomocnym orzeczeniem Trybunału Stanu, 3) zrzeczenia się mandatu, 4) śmierci posła, 5) zajmowania w dniu wyborów stanowiska lub funkcji, których stosownie do przepisów Konstytucji Rzeczypospolitej Polskiej albo ustaw nie można łączyć z mandatem posła, z zastrzeżeniem przepisu ust. 3, 6) powołania w toku kadencji na stanowisko lub powierzenia funkcji, których stosownie do przepisów Konstytucji Rzeczypospolitej Polskiej albo ustaw nie można łączyć ze sprawowaniem mandatu posła, 7) sprawowania przez posła albo powołania go na stanowisko lub funkcję: a) radnego rady gminy, rady powiatu lub sejmiku województwa, b) w zarządzie gminy, zarządzie powiatu, zarządzie województwa lub zarządzie związku komunalnego, c) w zarządzie lub w radzie regionalnej albo branżowej kasy chorych. 8) złożenia niezgodnego z prawdą oświadczenia, o którym mowa w art. 144 ust. 5 pkt 3. 2. Odmowa złożenia ślubowania poselskiego oznacza zrzeczenie się mandatu. 3. Wygaśnięcie mandatu posła zajmującego w dniu wyborów stanowisko lub funkcję, o których mowa w ust. 1 pkt 5 i pkt 7, następuje, jeżeli nie złoży on Marszałkowi Sejmu, w terminie 14 dni od dnia ogłoszenia przez Państwową Komisję Wyborczą wyników wyborów do Sejmu, oświadczenia o złożeniu rezygnacji z zajmowanego stanowiska lub pełnionej funkcji. 4. Wygaśnięcie mandatu posła powołanego w czasie kadencji na stanowisko lub funkcję, o których mowa w ust. 1 pkt 6 i 7, następuje z dniem powołania. "
1997_153.txt_Art. 93,Kto ma za zadanie wybierać przedstawiciela do rady nadzorczej regionalnej kasy?,"Art. 93. Do zakresu działania zgromadzenia przedstawicieli należy w szczególności: 1) uchwalanie regulaminu rejonowego oddziału, 2) uchwalanie planu pracy rejonowego oddziału, 3) uchwalanie sprawozdania rocznego z działalności oddziału, w tym z wykonania planu finansowego, 4) rozpatrywanie sprawozdań z działalności dyrektora oddziału i lekarza rejonowego oddziału, dokonywanie ocen ich działalności, oraz przedstawianie wniosków wynikających z tych ocen, 5) ocenianie realizacji umów o udzielanie świadczeń przysługujących ubezpieczonym ze szczególnym uwzględnieniem umów zawieranych przez rejonowy oddział, 6) wybieranie przedstawiciela do rady nadzorczej regionalnej kasy. "
2001_1442.txt_Art. 17,Co zawiera rejestr producentów i importerów?,"Art. 17. 1. Tworzy się rejestr producentów i importerów, zwany dalej ""rejestrem"". 2. Rejestr prowadzi Prezes Agencji Rezerw Materiałowych. 3. Rejestr zawiera w szczególności: 1) dokładne oznaczenie producenta lub importera, 2) niezbędne dane ekonomiczne i towarowe dotyczące producenta lub importera, 3) informacje dotyczące magazynowania zapasów obowiązkowych paliw ciekłych. 4. Minister właściwy do spraw gospodarki określi, w drodze rozporządzenia, szczegółowe zasady i sposób prowadzenia rejestru, wskazując jednocześnie dokumenty będące podstawą do dokonania wpisu do rejestru i uwzględniając możliwość prowadzenia rejestru w systemie elektronicznym pod warunkiem, że dane w nim zawarte znajdują potwierdzenie w dokumentach przechowywanych przez prowadzącego rejestr. 5. Producenci i importerzy są obowiązani zarejestrować się w rejestrze w terminie 30 dni od dnia podjęcia działalności gospodarczej. "
"2004_1208.txt_Art.
25",Jakie przepisy są używane do decyzji o wysokości opłat za ponowne wykorzystywanie informacji sektora publicznego? ,"Art. 25. 1. W zakresie nieuregulowanym ustawą do decyzji o odmowie wyrażenia zgody na ponowne wykorzystywanie informacji sektora publicznego oraz do decyzji o warunkach ponownego wykorzystywania lub o wysokości opłat za ponowne wykorzystywanie stosuje się przepisy ustawy z dnia 14 czerwca 1960 r. – Kodeks postępowania administracyjnego (Dz. U. z 2016 r. poz. 23). 2. Do skarg rozpatrywanych w postępowaniach o ponowne wykorzystywanie stosuje się przepisy ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi (Dz. U. z 2012 r. poz. 270, z późn. zm.[11])), z tym że: 1) przekazanie akt i odpowiedzi na skargę następuje w terminie 15 dni od dnia otrzymania skargi; 2) skargę rozpatruje się w terminie 30 dni od dnia otrzymania akt wraz z odpowiedzią na skargę. Rozdział 6 Zmiany w przepisach obowiązujących "
1998_602.txt_Art. 2,Czy wybory do rad powiatów i sejmików są tajne?,"Art. 2. 1. Wybory do rad gmin, rad powiatów i sejmików województw są powszechne, równe, bezpośrednie i odbywają się w głosowaniu tajnym. 2. W wyborach do każdego z organów, o których mowa w ust. 1, głosować można tylko osobiście i tylko jeden raz. "
2001_1545.txt_Art. 71,Co musi zrobić kapitan w przypadku zgonu na statku?,"Art. 71. § 1. O każdym przypadku urodzenia lub śmierci na statku w czasie podróży kapitan sporządza wzmiankę w dzienniku okrętowym oraz protokół, a w przypadku śmierci ponadto zabezpiecza mienie pozostałe po zmarłym. § 2. Kapitan zgłasza urodzenie lub zgon na statku urzędowi stanu cywilnego pierwszego portu polskiego, do którego statek zawinął, a za granicą polskiemu urzędowi konsularnemu. § 3. Testament osoby zmarłej na statku i akt zabezpieczenia jej mienia kapitan przekazuje sądowi rejonowemu właściwemu dla pierwszego portu polskiego, do którego statek zawinął, a za granicą polskiemu urzędowi konsularnemu. "
1996_410.txt_Art. 22,Czy w trakcie zleceń wykonywanych podczas zabiegów ratujących życie pacjenta pielęgniarka musi postępować zgodnie z zleceniami w dokumentacji medycznej?,"Art. 22. 1. Pielęgniarka, położna zobowiązana jest do wykonywania zleceń lekarskich odnotowanych w dokumentacji medycznej. 2. Zapis w dokumentacji medycznej, o którym mowa w ust. 1, nie dotyczy zleceń wykonywanych podczas zabiegów ratujących życie pacjenta i w sytuacjach grożących bezpośrednim niebezpieczeństwem utraty życia lub poważnym uszczerbkiem na zdrowiu pacjenta. 3.{ }Pielęgniarka, położna ma prawo uzyskania od lekarza informacji o stanie zdrowia pacjenta, rozpoznaniu, proponowanych metodach diagnostycznych, leczniczych, rehabilitacyjnych i dających się przewidzieć następstwach podejmowanych działań, w zakresie niezbędnym do udzielanych przez siebie świadczeń zdrowotnych. 4. W przypadku uzasadnionych wątpliwości pielęgniarka, położna ma prawo domagać się od lekarza, który wydał zlecenie, by uzasadnił potrzebę wykonania tego zlecenia. 5. W wyjątkowych przypadkach pielęgniarka, położna ma prawo odmówić wykonania zlecenia lekarskiego, podając niezwłocznie przyczynę odmowy na piśmie. 6. Pielęgniarka, położna ma prawo uzyskania pełnej informacji o celowości, planowanym przebiegu i dających się przewidzieć skutkach eksperymentu medycznego, w którym ma uczestniczyć. 7. W przypadku uzasadnionych wątpliwości pielęgniarka, położna może odmówić uczestniczenia w eksperymencie, podając przyczynę odmowy na piśmie. "
